5.934000015258789
69040,3.95965576171875,open,0.18702519226074177
69040,4.152774810791016,read,0.07186222839355469
69040,4.235744476318359,read,0.06090176391601562
69040,4.305601119995117,close,0.031
69040,4.380702972412109,open,0.06590855407714843
69040,4.456758499145508,fcntl,0.02
69040,4.523754119873047,read,0.08601478576660157
69040,4.688739776611328,read,0.06404753112792969
69040,4.7588348388671875,close,0.06190176391601562
69040,5.01561164855957,sendto,0.29716658020019526
47869,5.487680435180664,poll,0.024
47869,5.55872917175293,sendto,0.045000000000000005
69040,5.709648132324219,recvfrom,0.031
69040,5.785703659057617,recvfrom,0.12499003601074232
