1212.0,83.0,26.0,65.0,2.0,1.0,14.0,0.0099,1.688,0.1091,0.0003,15.04,3.5,0.6,0.0,0.04,13.76	2092.0,76.0,30.0,64.0,2.0,1.0,14.0,0.0079,1.529,0.0529,0.0003,13.18,1.92,0.71,0.0,0.02,2.69	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	16.63,11.23,0.0,0.0,0.0
2024.0,84.0,28.0,60.0,2.0,1.0,13.0,0.0074,1.7615,0.1616,0.0003,32.81,6.07,0.69,0.0,0.13,15.71	1644.0,86.0,27.0,61.0,2.0,1.0,13.0,0.0082,1.7535,0.1744,0.0004,24.96,6.17,0.62,0.0,0.13,19.23	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	30.16,31.8,0.0,0.0,0.0
1304.0,100.0,31.0,76.0,2.0,1.0,16.0,0.0111,1.6252,0.1037,0.0003,15.17,4.09,0.59,0.0,0.04,12.8	2092.0,76.0,30.0,64.0,2.0,1.0,14.0,0.0079,1.529,0.0529,0.0003,13.18,1.92,0.71,0.0,0.02,2.69	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	15.72,11.98,0.0,0.0,0.0
1063.0,95.0,28.0,69.0,2.0,1.0,15.0,0.011,1.5881,0.1888,0.0004,24.32,6.48,0.52,0.0,0.13,22.15	1644.0,86.0,27.0,61.0,2.0,1.0,13.0,0.0082,1.7535,0.1744,0.0004,24.96,6.17,0.62,0.0,0.13,19.23	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	43.53,40.86,0.0,0.0,0.0
1304.0,100.0,31.0,76.0,2.0,1.0,16.0,0.0111,1.6252,0.1037,0.0003,15.17,4.09,0.59,0.0,0.04,12.8	1212.0,83.0,26.0,65.0,2.0,1.0,14.0,0.0099,1.688,0.1091,0.0003,15.04,3.5,0.6,0.0,0.04,13.76	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	39.34,10.35,0.0,0.0,0.0
1063.0,95.0,28.0,69.0,2.0,1.0,15.0,0.011,1.5881,0.1888,0.0004,24.32,6.48,0.52,0.0,0.13,22.15	2024.0,84.0,28.0,60.0,2.0,1.0,13.0,0.0074,1.7615,0.1616,0.0003,32.81,6.07,0.69,0.0,0.13,15.71	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	30.21,25.3,0.0,0.0,0.0
1304.0,100.0,31.0,76.0,2.0,1.0,16.0,0.0111,1.6252,0.1037,0.0003,15.17,4.09,0.59,0.0,0.04,12.8	1212.0,83.0,26.0,65.0,2.0,1.0,14.0,0.0099,1.688,0.1091,0.0003,15.04,3.5,0.6,0.0,0.04,13.76	2092.0,76.0,30.0,64.0,2.0,1.0,14.0,0.0079,1.529,0.0529,0.0003,13.18,1.92,0.71,0.0,0.02,2.69	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	37.58,41.31,6.1,0.0,0.0
2024.0,84.0,28.0,60.0,2.0,1.0,13.0,0.0074,1.7615,0.1616,0.0003,32.81,6.07,0.69,0.0,0.13,15.71	1063.0,95.0,28.0,69.0,2.0,1.0,15.0,0.011,1.5881,0.1888,0.0004,24.32,6.48,0.52,0.0,0.13,22.15	1644.0,86.0,27.0,61.0,2.0,1.0,13.0,0.0082,1.7535,0.1744,0.0004,24.96,6.17,0.62,0.0,0.13,19.23	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	30.09,29.31,28.43,0.0,0.0
2024.0,84.0,28.0,60.0,2.0,1.0,13.0,0.0074,1.7615,0.1616,0.0003,32.81,6.07,0.69,0.0,0.13,15.71	1644.0,86.0,27.0,61.0,2.0,1.0,13.0,0.0082,1.7535,0.1744,0.0004,24.96,6.17,0.62,0.0,0.13,19.23	1063.0,95.0,28.0,69.0,2.0,1.0,15.0,0.011,1.5881,0.1888,0.0004,24.32,6.48,0.52,0.0,0.13,22.15	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	20.31,22.01,27.85,0.0,0.0
1063.0,95.0,28.0,69.0,2.0,1.0,15.0,0.011,1.5881,0.1888,0.0004,24.32,6.48,0.52,0.0,0.13,22.15	2024.0,84.0,28.0,60.0,2.0,1.0,13.0,0.0074,1.7615,0.1616,0.0003,32.81,6.07,0.69,0.0,0.13,15.71	1644.0,86.0,27.0,61.0,2.0,1.0,13.0,0.0082,1.7535,0.1744,0.0004,24.96,6.17,0.62,0.0,0.13,19.23	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	23.58,19.91,27.61,0.0,0.0
